index,mmsi,sog,cog,heading,width,length,draught,area
mmsi,1.0,0.036409921314884144,-0.0195024832799453,-0.026678760729489034,0.4628213370124987,0.46083620899557304,0.4207616403502201,0.43106534021302356
sog,0.036409921314884144,1.0,-0.0055514350703546635,-0.037306697386027744,0.3063768679243389,0.2856650402099786,0.15264221323442173,0.24134496177610207
cog,-0.0195024832799453,-0.0055514350703546635,1.0,0.9619221681535475,-0.029350993197540896,-0.019386009102354336,-0.007979551049783916,-0.03427931414492697
heading,-0.026678760729489034,-0.037306697386027744,0.9619221681535475,1.0,-0.04592009509701284,-0.03673530468036421,-0.012999228087625367,-0.04505716585333283
width,0.4628213370124987,0.3063768679243389,-0.029350993197540896,-0.04592009509701284,1.0,0.9557804320036097,0.7407232425566387,0.9498758659205169
length,0.46083620899557304,0.2856650402099786,-0.019386009102354336,-0.03673530468036421,0.9557804320036097,1.0,0.7353112273504173,0.9292983469399814
draught,0.4207616403502201,0.15264221323442173,-0.007979551049783916,-0.012999228087625367,0.7407232425566387,0.7353112273504173,1.0,0.7047452802703722
area,0.43106534021302356,0.24134496177610207,-0.03427931414492697,-0.04505716585333283,0.9498758659205169,0.9292983469399814,0.7047452802703722,1.0
